2025-08-12 10:20:27 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:20:27 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:23:35 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:23:35 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:23:35 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:23:36 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:28:02 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:28:02 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:28:02 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:28:02 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:28:02 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:28:03 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:28:03 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:28:03 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:30:07 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:30:07 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:30:07 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:30:07 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:30:29 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:30:29 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:30:29 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:30:29 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:30:31 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:30:31 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:30:31 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:30:31 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:31:34 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:31:34 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:31:34 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:31:34 [main] INFO  Utilities.BaseClass - User clicked On login btn
2025-08-12 10:31:36 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:31:56 [main] INFO  Utilities.BaseClass - In enterUserName
2025-08-12 10:31:56 [main] INFO  Utilities.BaseClass - User entered the username
2025-08-12 10:31:56 [main] INFO  Utilities.BaseClass - User entered the pasword
2025-08-12 10:31:57 [main] INFO  Utilities.BaseClass - User clicked On login btn
